more_details_url,make,model,battery_,towbar,market_segment,number_of_seats,acceleration,top_speed,range,efficiency,fastcharge,germany_price,nl_price,uk_price,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1940/Honda-eNy1,Honda,e:Ny1,62,Towbar not possible,SUV,5,7.6,160,360,172,320,47590,48750,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1422/Hyundai-Kona-Electric-39-kWh,Hyundai,Kona Electric 39 kWh,39.2,Towbar not possible,SUV,5,9.9,155,250,157,220,36400,N/A,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1590/BMW-iX-M60,BMW,iX M60,105.2,Towbar possible,SUV,5,3.8,250,485,217,650,136100,138383,122775,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1270/Renault-Twingo-Electric,Renault,Twingo Electric,21.3,Towbar not possible,Hatchback,4,12.6,135,135,158,-,28000,24190,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1772/Audi-Q8-e-tron-Sportback-55-quattro,Audi,Q8 e-tron Sportback 55 quattro,106,Towbar possible,SUV,5,5.6,200,525,202,660,87550,85385,80300,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1787/NIO-ET5-100-kWh,NIO,ET5 100 kWh,90,Towbar possible,Sedan,5,4,200,500,180,520,68500,71700,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD,Hyundai,IONIQ 5 Standard Range 2WD,54,Towbar possible,SUV,5,8.5,185,295,183,720,43900,49295,43445,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1828/Volkswagen-ID4-GTX,Volkswagen,ID.4 GTX,77,Towbar possible,SUV,5,6.3,180,400,193,560,53255,61790,52865,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1933/Zeekr-001-Long-Range-RWD,Zeekr,001 Long Range RWD,94,Towbar possible,Liftback,5,7.2,200,530,177,740,N/A,60490,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1841/Polestar-4-Long-Range-Single-Motor,Polestar,4 Long Range Single Motor,94,Towbar possible,Liftback,5,7.4,180,510,184,760,60000,60000,55000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1567/Subaru-Solterra-AWD,Subaru,Solterra AWD,64,Towbar possible,SUV,5,6.9,160,320,200,480,57490,56395,49995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1748/Smart-1-Brabus,Smart,#1 Brabus,62,Towbar possible,SUV,5,3.9,180,315,197,490,48990,48895,43450,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1796/Volvo-XC40-Recharge-Single-Motor,Volvo,XC40 Recharge Single Motor,66,Towbar possible,SUV,5,7.3,180,345,191,420,47500,45995,46505,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1797/Volvo-XC40-Recharge-Single-Motor-ER,Volvo,XC40 Recharge Single Motor ER,79,Towbar possible,SUV,5,7.3,180,405,195,600,53000,51495,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1760/Mercedes-EQE-SUV-350plus,Mercedes,EQE SUV 350+,90.6,Towbar possible,SUV,5,6.7,210,450,201,670,86811,91950,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1491/Audi-Q4-e-tron-50-quattro,Audi,Q4 e-tron 50 quattro,76.6,Towbar possible,SUV,5,6.2,180,385,199,550,57900,71015,57010,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1475/MG-Marvel-R-Performance,MG,Marvel R Performance,70,Towbar possible,SUV,5,4.9,200,350,200,380,50990,52485,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1837/Maxus-MIFA-9,Maxus,MIFA 9,90,Towbar possible,SPV,7,9.2,180,345,261,290,68990,N/A,65290,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1751/NIO-ET7-75-kWh,NIO,ET7 75 kWh,70.5,Towbar possible,Sedan,5,3.8,200,400,176,540,81900,84900,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1657/Nissan-Leaf-eplus,Nissan,Leaf e+,59,Towbar not possible,Hatchback,5,6.9,157,340,174,240,41100,41890,34945,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1709/Fisker-Ocean-Sport,Fisker,Ocean Sport,75,Towbar possible,SUV,5,7.4,160,380,197,480,41560,42000,35970,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1832/Volkswagen-ID3-Pro-S---4-Seats,Volkswagen,ID.3 Pro S - 4 Seats,77,Towbar possible,Hatchback,4,7.9,160,455,169,680,47595,47990,42870,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1559/Mercedes-EQB-300-4MATIC,Mercedes,EQB 300 4MATIC,66.5,Towbar not possible,SUV,7,8,160,340,196,490,55519,65483,55310,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1769/Audi-Q8-e-tron-50-quattro,Audi,Q8 e-tron 50 quattro,89,Towbar possible,SUV,5,6,200,420,212,650,74400,71385,67800,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1813/Dacia-Spring-Electric-65-Extreme,Dacia,Spring Electric 65 Extreme,25,Towbar not possible,Hatchback,4,13.7,125,160,156,170,24550,23400,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1717/Hyundai-IONIQ-6-Standard-Range-2WD,Hyundai,IONIQ 6 Standard Range 2WD,54,Towbar possible,Sedan,5,8.8,185,365,148,900,43900,45895,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1565/Toyota-bZ4X-AWD,Toyota,bZ4X AWD,64,Towbar possible,SUV,5,6.9,160,315,203,470,57390,59995,52510,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1744/Peugeot-e-308,Peugeot,e-308,50.8,Towbar not possible,Hatchback,5,9.8,170,300,169,450,44765,43585,37000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1524/MG-Marvel-R,MG,Marvel R,70,Towbar possible,SUV,5,7.9,200,365,192,400,46990,49485,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1240/Mercedes-EQV-300-Long,Mercedes,EQV 300 Long,90,Towbar not possible,SPV,7,12.1,160,310,290,310,71626,83617,87995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1540/MG-ZS-EV-Standard-Range,MG,ZS EV Standard Range,49,Towbar possible,SUV,5,8.6,175,265,185,250,33990,35885,30495,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1631/Skoda-Enyaq-Coupe-iV-RS,Skoda,Enyaq Coupe iV RS,77,Towbar possible,SUV,5,6.5,180,435,177,600,63300,61990,54370,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1187/Skoda-Enyaq-iV-50,Skoda,Enyaq iV 50,52,Towbar not possible,SUV,5,11.3,160,305,170,250,39900,N/A,N/A,,,,,,,,,,,,,,,,,,,
